successorfail,moneygoal,image,projectdetail,riskchallengedetail,numberofpackage,avemoneypackage,minmoneypackage,maxmoneypackage,category_animemanga,category_game,category_kosumebeauty,category_startup,category_sports,category_technology,category_fashion,category_food,category_product,category_restaurants,category_world,category_bookjournalism,category_regionalactivation,category_movie,category_communityservice,category_music
1,300000,37,1084,113,8,5104,3984,7968,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,100000,64,990,122,4,6385,4920,9850,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,480000,50,1782,0,11,22866,4536,43600,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,16,836,120,10,4587,2370,6330,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,32,1075,0,11,99850,73224,129384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,27,893,0,4,27550,17800,37800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5000000,4,669,0,9,73000,3000,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1000000,12,1403,0,9,18777,8000,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,300000,24,1138,0,6,16023,7500,35980,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,300000,37,1449,99,34,4364,3850,4785,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,25,1272,0,11,19363,12000,52000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,500000,16,1086,0,9,20340,11340,45360,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5000000,27,1206,0,12,12583,500,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,500000,25,939,33,8,24550,10500,28800,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,100000,18,1578,140,20,6461,1925,20900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,200000,72,2669,0,14,10243,1280,19800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,40,3119,0,13,15798,8075,42750,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,300000,73,3732,184,7,13897,6930,31900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,46,1780,0,9,53777,5000,90000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,63,5532,197,10,41212,15730,147620,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5000000,12,1474,82,9,222000,3000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1000000,24,1651,0,6,22000,5500,71500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2000000,41,1682,0,27,60079,1000,252000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,300000,28,604,0,8,32220,16880,98000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,36,951,0,9,19597,1980,26800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5000000,25,1647,15,7,14714,3000,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,300000,53,1287,88,13,13366,7350,26210,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,6480000,16,1073,0,14,67474,3240,324000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
