successorfail,moneygoal,image,projectdetail,riskchallengedetail,numberofpackage,avemoneypackage,minmoneypackage,maxmoneypackage,category
1,100000,26,993,0,9,4911,1800,20000,プロダクト
1,300000,29,1529,0,16,7277,500,12420,プロダクト
1,100000,48,1569,0,9,5137,2600,9950,プロダクト
0,350000,25,3377,0,10,85300,27000,206500,スタートアップ
1,500000,14,287,0,7,11172,2450,31500,プロダクト
1,300000,42,1212,0,4,16200,16200,16200,プロダクト
1,1000000,28,2298,0,9,41111,14000,150000,レストラン・バー
0,300000,8,487,0,2,106920,97200,116640,プロダクト
0,500000,26,1289,0,7,18142,2800,43200,出版・ジャーナリズム
1,300000,21,1365,0,4,20012,16243,24106,プロダクト
1,300000,60,1825,0,4,8370,5400,10800,プロダクト
1,300000,51,6491,0,16,41925,3900,98000,ファッション
0,3000000,22,2289,0,5,56700,21600,162000,プロダクト
0,500000,5,700,0,6,12083,3000,30000,社会貢献
1,2000000,21,1765,0,3,193500,180600,206400,スポーツ
1,1000000,34,2076,0,4,17100,11700,22500,プロダクト
0,300000,24,1219,0,2,2250,2000,2500,アート・写真
0,300000,19,656,0,12,8200,6300,10350,コスメ・ビューティー
1,500000,15,3095,0,8,15891,8160,40800,プロダクト
1,1000000,32,1268,0,8,27125,3000,100000,フード
1,100000,16,710,0,9,22844,9600,68800,プロダクト
1,200000,45,1379,0,4,23875,19500,37000,ファッション
0,300000,27,2057,0,18,71111,1000,1000000,演劇・パフォーマンス
0,300000,14,887,0,3,4033,1100,8800,地域活性化
0,1000000,25,2188,0,11,567654,3500,4000000,レストラン・バー
1,200000,55,1737,0,5,8240,4500,17800,ファッション
1,100000,69,2543,0,7,8285,4500,13000,プロダクト
1,500000,32,770,0,9,20531,9800,34800,ファッション
1,100000,49,2247,0,8,8262,1000,15000,地域活性化
1,5000000,4,669,0,9,73000,3000,300000,音楽
1,100000,22,1762,0,9,15222,1000,50000,社会貢献
1,200000,8,415,0,7,48714,3000,200000,レストラン・バー
0,300000,10,1155,0,7,7714,3000,20000,社会貢献
0,300000,6,730,0,7,96571,1000,500000,レストラン・バー
1,500000,34,1231,0,6,13940,6840,36000,プロダクト
1,200000,11,429,0,6,5716,4050,8620,プロダクト
1,1000000,15,3974,0,17,29058,8000,65000,レストラン・バー
1,300000,36,2556,0,7,11857,3000,33000,フード
0,1500000,13,1685,0,4,6500,3000,10000,出版・ジャーナリズム
1,500000,6,1512,0,7,114000,3000,500000,出版・ジャーナリズム
1,668250,24,1844,0,11,29590,25000,32000,プロダクト
1,300000,34,1278,0,7,52225,16740,162540,プロダクト
0,500000,31,1424,0,6,388616,3900,1296000,スタートアップ
1,1000000,14,3357,0,11,30590,8000,52000,レストラン・バー
0,500000,45,2028,0,6,70066,16800,126600,プロダクト
1,300000,9,707,0,7,17142,3000,40000,社会貢献
1,100000,49,1627,0,13,6803,4830,10350,プロダクト
1,200000,24,244,0,6,10363,2980,26580,プロダクト
1,500000,26,1128,0,7,14302,5290,37800,プロダクト
0,100000,43,1564,0,7,4480,1480,12744,プロダクト
1,300000,61,2580,0,6,16350,3300,24500,ファッション
1,150000,21,914,0,5,4468,3340,7160,プロダクト
0,500000,8,1071,0,6,48500,2000,95000,プロダクト
1,100000,33,945,0,10,3074,1512,5670,プロダクト
1,500000,14,2397,0,9,30455,20000,94500,プロダクト
1,300000,24,1519,0,9,2561,1500,3800,フード
1,300000,16,1581,0,8,10645,3980,36800,プロダクト
1,500000,14,3191,0,9,55044,5400,300000,レストラン・バー
1,300000,25,1810,0,7,13000,9180,24300,プロダクト
1,800000,46,2348,0,15,16812,14580,20520,プロダクト
1,100000,12,889,0,9,14102,4374,26093,ファッション
1,600000,40,1837,0,7,14564,11016,21384,ファッション
1,297140,17,1087,0,3,10326,5980,14000,フード
0,2160000,18,1164,0,5,8424,1080,21600,出版・ジャーナリズム
1,150000,32,1318,0,6,5411,2108,15000,プロダクト
1,120000,8,1111,0,8,9862,3000,30000,プロダクト
1,800000,6,595,0,5,23600,3000,50000,教育
1,300000,61,4071,0,7,38725,6480,108000,プロダクト
0,1000000,9,687,0,6,6493,4823,9773,プロダクト
1,500000,48,2591,0,6,125524,756,169516,プロダクト
1,200000,25,1564,0,9,5622,1000,15000,レストラン・バー
1,1000000,0,412,0,10,151900,1000,1000000,社会貢献
1,500000,58,1848,0,5,15580,4000,32200,ファッション
1,300000,43,782,0,7,20500,7000,65800,プロダクト
1,1000000,25,2205,0,13,41600,9800,300000,ファッション
0,2000000,4,1447,0,10,77000,5000,400000,アート・写真
1,300000,10,959,0,7,21000,10000,40000,レストラン・バー
1,100000,23,688,0,12,3013,900,10000,プロダクト
0,1000000,21,1787,0,5,33240,20000,64800,プロダクト
0,300000,18,2030,0,4,8250,3000,15000,テクノロジー
